"Census.Tract","CES.3.0.Score","Total.Population","California.County","Hispanic....","White....","African.American....","Native.American....","Asian.American....","Other....","ZIP","Longitude","Latitude","Ozone","PM2.5","Diesel.PM","Drinking.Water","Pesticides","Tox..Release","Traffic","Cleanup.Sites","Groundwater.Threats","Haz..Waste","Imp..Water.Bodies","Solid.Waste","Pollution.Burden","Asthma","Low.Birth.Weight","Poverty","Unemployment"
6037119001,47.33,4038,"Los Angeles",70.5,9.7,0.8,0.2,16.9,2,91331,-118.4203143,34.2351095,0.055,11.21,22.233,618.05,0,919.3401142,3627.93,13,3,0.21,4,2.5,59.33,68.45,8.49,21.5,8.8
6037213320,47.33,2481,"Los Angeles",64,1.9,3.1,0,29.8,1.1,90006,-118.2937,34.050883,0.046,12.89,53.856,664.07,0,3380.9427,1363.58,12.8,1.5,0,0,0,50.62,56.69,6.14,70.2,14.3
6071007109,47.32,6064,"San Bernardino",38.6,33.3,17.9,0.4,6.1,3.7,92313,-117.3072899,34.042144,0.065,12.47,17.355,654.27,0.13,677.6459311,1703.29,9,1.5,0.12,1,0.2,54.39,53.75,6.19,39.4,13.1
6037297120,47.32,3315,"Los Angeles",69.5,18.4,5.5,0.4,4.5,1.8,90731,-118.2850961,33.7280812,0.042,11.21,51.9,198.88,0,5118.457419,470.43,13.6,46.25,0.4,9,0,51.48,84.98,4.36,47.1,17.9
6107003100,47.32,3591,"Tulare ",64.1,32.4,1.3,0.8,0.3,1.2,93274,-119.4402943,36.1358963,0.062,17.08,5.258,881.67,202.56,43.58794524,390.07,0,9.3,0.26,4,6,55.69,70.29,4.48,66.5,11.6
6001406100,47.31,4381,"Alameda ",57.7,16.3,10.5,0.7,12.6,2.2,94601,-122.2275943,37.7741552,0.03,8.69794377,41.028,70.6,0,342.794044,1573.2,66.45,202.8,1.125,17,8,56.47,105.75,3.97,50.1,10.1
6037231300,47.29,5348,"Los Angeles",64,1.6,30.2,0.3,1.2,2.6,90062,-118.304538,34.0145164,0.046,12.89,26.04,664.07,0,3368.016801,873.78,0.5,0,0.3,0,0,46.96,65.13,7.55,75.8,9
6071004001,47.26,4763,"San Bernardino",82.5,12.7,2.5,0.5,1.2,0.7,92316,-117.4033115,34.0557926,0.065,13.31,22.713,403.52,9.1,1648.864847,1746.52,0,4,1,0,2,59.87,47.31,5.2,47.6,19.9
6099000302,47.26,2641,"Stanislaus ",47.1,46.3,2.1,0.7,1.7,2,95367,-120.9473005,37.7365049,0.053,12.89,11.116,776.43,5.06,4159.505648,532.99,0,11.25,0.6,6,3,60.16,46.8,4.56,37.4,13.4
6037190700,47.23,3379,"Los Angeles",34.3,47.1,9,0.4,6.5,2.8,90028,-118.3336722,34.0986626,0.05,12.47,34.327,664.07,0,2054.496517,1825.63,15,26.9,0.385,0,1.25,62.77,68.33,2.61,56.1,3
6037576901,47.22,6092,"Los Angeles",55.9,11,12.7,0.2,17.5,2.7,90804,-118.164632,33.7791377,0.042,11.21,18.451,220.01,0,8454.549771,953.27,0,17.25,1.1,4,0,44.88,74.2,8.45,71.7,10.5
6037123901,47.2,4500,"Los Angeles",54.7,33.3,4.2,0.2,5.4,2.1,91606,-118.3938003,34.1854544,0.055,12.05,25.963,618.05,0,1201.338047,1633.6,13.6,4.5,0.06,0,1.2,54.32,65.25,4.95,44.5,6.4
6037241201,47.18,2898,"Los Angeles",51.8,0.7,46.3,0.1,0.2,0.9,90044,-118.2858348,33.9402403,0.044,12.05,24.76,664.07,0,5019.843183,3651.92,0,0,0,6,0,47.59,84,5.03,51.5,20.3
6075023102,47.15,3478,"San Francisco",16.2,4.9,61,0.4,13.7,3.8,94124,-122.3844982,37.734492,0.03,8.69794377,92.89,171.2,0,212.4771452,294.99,19.5,24.5,3.325,14,5.65,47.31,135.72,8.75,62.6,18.5
6071002301,47.14,9721,"San Bernardino",72.9,11.3,8.5,0.3,5.8,1.2,92336,-117.4426859,34.1251086,0.065,12.89,17.922,515.07,0.03,2710.931982,788.98,1,2.25,0.2,0,5.5,53.27,41.46,6.2,36.7,22.8
6059087403,47.12,3186,"Orange ",86.7,7.2,1.2,0.2,4,0.7,92805,-117.9103184,33.8141312,0.046,11.21,19.567,291.13,0,22927.3936,3072.58,0,13.5,0.535,0,1,49.97,49.05,6.09,71.6,12.5
6037602505,47.12,4072,"Los Angeles",52.8,5.2,35.4,0.2,4.5,1.9,90250,-118.341667,33.9055546,0.044,12.05,23.82,378.31,0,4988.576409,1387.73,2.1,0,0.025,7,0.2,45.95,78.54,6.64,62.3,12.9
6065940400,47.1,6504,"Riverside ",96.6,2.3,0.4,0.3,0.1,0.3,92236,-116.182178,33.7018202,0.062,8.27876414,11.912,482.96,321.06,0.640663068,533.55,14,22.75,0.1,7,7.5,53.59,49.81,4.48,57,14.1
6037404402,47.09,5107,"Los Angeles",78.9,10.9,0.7,0.4,8.4,0.7,91702,-117.9236036,34.1209332,0.053,11.21,20.64,442.88,0,5801.406836,2839.85,26.5,108.85,8.295,0,10.2,65.89,66.74,4.8,33.4,8.9
6085503601,47.09,2992,"Santa Clara",54.4,26.3,1.4,0.2,15.3,2.4,95133,-121.8661537,37.3583881,0.035,10.37,32.452,479.23,0,332.4553641,1490.91,20.5,34.95,1.465,2,11,57.16,50.27,5.44,53.2,10.1
6037530004,47.08,3695,"Los Angeles",73.2,14.7,0.5,0.2,10.6,0.8,90640,-118.09768,34.0184014,0.046,12.05,17.409,720.08,0,10017.87131,932.34,27,9.15,0.025,6,7.7,60.8,47.04,6.16,32.6,9.1
6029000300,47.07,4217,"Kern ",21.1,73.5,0.5,1.8,0.7,2.5,93308,-119.0286468,35.4111131,0.062,18.76,21.613,288.62,0,49.80857184,406.1,17.8,8.2,2.285,0,0,45.66,80.97,7.82,68.3,23.6
6071002206,47.07,6656,"San Bernardino",55.3,26.3,7.9,0.3,7.6,2.6,91761,-117.586378,34.0245953,0.062,13.73,45.463,840.14,0,6224.170229,1863.41,0,20,0.185,5,1,67.02,51.6,5.48,20.9,11.3
6025011600,47.06,6310,"Imperial ",84.9,11.8,1.6,0.2,0.7,0.9,92243,-115.5611698,32.7871645,0.055,7.85958451,11.895,267.16,0,252.0735236,815.58,1.7,8,0.51,7,2.25,42.21,111.93,5.64,60.7,30
6037551102,47.06,5503,"Los Angeles",79,8.3,7.4,0.3,3.8,1.1,90242,-118.1206401,33.9259214,0.044,12.05,24.081,677.47,0,5929.038907,802.47,11.1,38.5,0.26,3,5.75,62.1,32.94,6.22,53.2,9.4
6029001300,47.05,7559,"Kern ",83.1,8,6.5,1.3,0.2,0.9,93305,-118.9880772,35.3822696,0.062,18.76,33.05,593.77,0,30.9115903,494.54,0.4,0,0.095,0,0,39.51,111.62,7.13,82.6,17.5
6059074403,47.04,5688,"Orange ",94.6,2.3,0.2,0.1,2.4,0.4,92705,-117.847018,33.7280675,0.046,10.37,27.504,377.39,0,74760.18881,3059.71,60.75,23,1.535,0,6.25,63.17,31.99,5.2,80.5,7.6
6037218800,47.02,2658,"Los Angeles",62.3,2.7,25.1,0.2,8.2,1.5,90018,-118.3230095,34.0377797,0.046,12.89,26.573,664.07,0,2626.447171,3691.35,9,3,0,0,0,50.63,63.39,7.72,48.8,14.2
6037430101,46.99,4887,"Los Angeles",50.1,24.5,8.5,0.5,13.9,2.5,91010,-117.9755668,34.1375469,0.053,11.21,18.148,396.97,0,21108.04683,1657.95,5.3,18.75,1.85,2,3.1,59.88,52.62,6.32,41.8,7.4
6071003506,46.99,4802,"San Bernardino",67.5,8.9,19.6,0.2,2.1,1.7,92376,-117.3778897,34.1293784,0.065,12.89,15.571,711.05,0,1921.91185,516.76,3.5,0,0.05,0,1,46.42,84.92,5.94,58.3,17.1
6037542501,46.95,4307,"Los Angeles",40.7,0.7,51.6,0.1,5.6,1.3,90220,-118.2367479,33.8907006,0.044,12.05,24.039,444.63,0.42,6081.023027,593.93,0,2,0.01,6,0.2,44.29,110.81,5.97,55.6,23.9
